operacao,data,Atendentes,Falando,Ocioso,A - Improdutiva,Receptivo,A - Alô sem CPC,A - Alô com CPC negativo,A - Alô com CPC positivo,R - Improdutiva,R - Alô sem CPC,R - Alô com CPC negativo,R - Alô com CPC positivo,TotalPositivo,TotalProdutiva,PositivoPorPA,PositivoPorTempoLogado
C6,2021-03-19,0,0.0000000,0.0000000,1,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000
C6,2021-03-20,0,0.0000000,0.0000000,1,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000
C6,2021-03-23,0,0.0000000,0.0000000,1,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000
C6,2021-03-25,0,0.0000000,0.0000000,0,0,0,0,1,0,0,0,0,1,1,0,0.000000000000000
CARTAO,2021-03-25,0,0.0000000,0.0000000,3,0,0,2,0,0,0,0,0,0,2,0,0.000000000000000
CARTAO,2021-03-27,0,0.0000000,0.0000000,2,0,1,1,1,0,0,0,0,1,3,0,0.000000000000000
C6,2021-03-31,0,0.0000000,0.0000000,1,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000
C6,2021-04-05,0,0.0000000,0.0000000,1,0,0,1,0,0,0,0,0,0,1,0,0.000000000000000
C6,2021-04-08,0,0.0000000,0.0000000,1,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000
C6,2021-04-14,0,0.0000000,0.0000000,3,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000
C6,2021-04-15,0,0.0000000,0.0000000,2,0,0,0,0,0,0,0,0,0,0,0,0.000000000000000
C6,2021-04-16,0,0.0000000,0.0000000,2,0,1,0,0,0,0,0,0,0,1,0,0.000000000000000
CC,2021-05-24,0,0.0000000,0.0000000,0,0,0,5,0,0,0,0,0,0,5,0,0.000000000000000
CC,2021-05-25,0,0.0000000,0.0000000,0,0,0,1,0,0,0,0,0,0,1,0,0.000000000000000
CC,2021-05-26,0,0.0000000,0.0000000,0,0,0,19,0,0,0,0,0,0,19,0,0.000000000000000
CC,2021-05-27,0,0.0000000,0.0000000,0,0,0,11,0,0,0,0,0,0,11,0,0.000000000000000
CC,2021-05-28,0,0.0000000,0.0000000,0,0,0,12,0,0,0,0,0,0,12,0,0.000000000000000
CC,2021-05-31,0,0.0000000,0.0000000,1,0,0,12,0,0,0,0,0,0,12,0,0.000000000000000
CC,2021-06-01,0,0.0000000,0.0000000,0,0,0,18,0,0,0,0,0,0,18,0,0.000000000000000
CC,2021-06-02,0,0.0000000,0.0000000,0,0,0,7,0,0,0,0,0,0,7,0,0.000000000000000
CC,2021-06-04,0,0.0000000,0.0000000,0,0,0,13,0,0,0,0,0,0,13,0,0.000000000000000
CC,2021-06-07,0,0.0000000,0.0000000,0,0,0,1,0,0,0,0,0,0,1,0,0.000000000000000
CC,2021-06-08,0,0.0000000,0.0000000,0,0,0,4,0,0,0,0,0,0,4,0,0.000000000000000
CC,2021-06-10,0,0.0000000,0.0000000,0,0,0,2,0,0,0,0,0,0,2,0,0.000000000000000
